name,price,total_price,distributor,has_voucher
Wizz Fizz Supa Fizz Bag,6.0,9.0,HUNTER LEISURE P/L,False
Cadbury Giant Freddo and Friends,10.0,17.15,BENSONS TRADING CO PTY LTD,False
RIP Snorter Brain Blaster Super,6.0,14.0,HUNTER LEISURE P/L,False
New Zealand Favourites,25.0,34.0,SHOWBAGS AUSTRALIA PTY LD,False
Baby Shark Bag,30.0,47.7,HUNTER LEISURE P/L,False
Disgusting Bag,10.0,20.65,HUNTER LEISURE P/L,False
The Conscious Store,32.0,82.0,CHICANE MARKETING PTY LTD,True
BIG Milkybar,20.0,24.0,CHICANE MARKETING PTY LTD,False
Kids Music Maker,28.0,79.7,CHICANE MARKETING PTY LTD,False
Cadbury Caramello Koala,5.0,7.2,BENSONS TRADING CO PTY LTD,False
Paw Patrol Showbag #1,32.0,67.6,BENSONS TRADING CO PTY LTD,False
Red Rock Deli Regular,6.0,9.48,HUNTER LEISURE P/L,False
Llama,30.0,75.5,BENSONS TRADING CO PTY LTD,False
Sloth,32.0,85.55,BENSONS TRADING CO PTY LTD,False
Where's Wally,32.0,66.55,BENSONS TRADING CO PTY LTD,False
Better Homes and Gardens,30.0,418.64,CHICANE MARKETING PTY LTD,True
Friends,32.0,66.6,BENSONS TRADING CO PTY LTD,False
Minecraft Backpack Bag,35.0,55.25,HUNTER LEISURE P/L,False
Cadbury Cherry Ripe,5.0,6.6,BENSONS TRADING CO PTY LTD,False
Bertie Beetle Triple Deal,10.0,21.0,CHICANE MARKETING PTY LTD,False
Cadbury Flake Superbag,10.0,16.95,BENSONS TRADING CO PTY LTD,False
Oreo,12.5,15.3,BENSONS TRADING CO PTY LTD,False
UCLA,32.0,185.48,CHICANE MARKETING PTY LTD,False
Ferrero Rocher,20.0,28.75,CHICANE MARKETING PTY LTD,False
Nestlé Big Family Deal,25.0,35.7,CHICANE MARKETING PTY LTD,False
Men's Health magazine,30.0,256.46,C&C MARKETING,True
Smiths Super Snack Bag,12.0,17.55,HUNTER LEISURE P/L,False
Blippi,32.0,66.55,BENSONS TRADING CO PTY LTD,False
Kawaii Squad,32.0,68.55,BENSONS TRADING CO PTY LTD,False
Chupa Chups Megabag,12.0,12.57,BENSONS TRADING CO PTY LTD,False
Knights and Gladiators,25.0,53.85,SHOWBAGS AUSTRALIA PTY LD,False
House of Horror,25.0,72.65,SHOWBAGS AUSTRALIA PTY LD,False
Designer Brands Cosmetics Showbag,25.0,90.89,C&C MARKETING,True
Care Bears Bag,35.0,62.3,HUNTER LEISURE P/L,False
JO JO Silwa Bag,30.0,54.6,HUNTER LEISURE P/L,False
Sleep Squad,32.0,83.5,BENSONS TRADING CO PTY LTD,False
Cadbury Curly Wurly Superbag,10.0,15.35,BENSONS TRADING CO PTY LTD,False
Gloss and Glamour,30.0,63.3,SHOWBAGS AUSTRALIA PTY LD,False
Mega Cop,35.0,50.0,VERITAS MARKETING,False
Super Milkybar,16.0,23.15,CHICANE MARKETING PTY LTD,False
Wild West,30.0,54.65,SHOWBAGS AUSTRALIA PTY LD,False
Mega Fairy,35.0,60.0,VERITAS MARKETING,False
Ultimate Magic,25.0,72.3,SHOWBAGS AUSTRALIA PTY LD,False
Jumbo Mega Warheads,10.0,16.05,BENSONS TRADING CO PTY LTD,False
Cadbury Crunchie Super,10.0,21.35,BENSONS TRADING CO PTY LTD,False
The Natural Confectionery,15.0,17.5,BENSONS TRADING CO PTY LTD,False
Cadbury Crunchie,5.0,7.8,BENSONS TRADING CO PTY LTD,False
World's Biggest Jumbo,25.0,45.05,SHOWBAGS AUSTRALIA PTY LD,False
Jumbo 100 in 1,10.0,29.7,SHOWBAGS AUSTRALIA PTY LD,False
Bertie Beetle Diamond Deal,18.0,32.0,CHICANE MARKETING PTY LTD,False
Bertie Beetle Bonanza,15.0,34.4,CHICANE MARKETING PTY LTD,False
Zappo,6.0,7.95,BENSONS TRADING CO PTY LTD,False
NRL State of Origin NSW,30.0,65.5,BENSONS TRADING CO PTY LTD,False
Cadbury Furry Friends,5.0,5.3,BENSONS TRADING CO PTY LTD,False
Mega Kids,35.0,85.0,VERITAS MARKETING,False
NRL New Zealand Warriors,30.0,68.6,BENSONS TRADING CO PTY LTD,False
NRL Penrith Panthers,30.0,68.6,BENSONS TRADING CO PTY LTD,False
Rip Snorter Super Ripper Bag,6.0,14.0,HUNTER LEISURE P/L,False
The Mandalorian Bag,30.0,55.75,HUNTER LEISURE P/L,False
NRL State of Origin QLD,30.0,55.6,BENSONS TRADING CO PTY LTD,False
Thomas The Tank Showbag,32.0,64.65,BENSONS TRADING CO PTY LTD,False
NRL South Sydney Rabbitohs,30.0,68.6,BENSONS TRADING CO PTY LTD,False
SKITTLES Bag,6.0,7.8,HUNTER LEISURE P/L,False
Jelly Belly,12.0,21.35,BENSONS TRADING CO PTY LTD,False
Karate Ninja Deluxe Bag,30.0,38.8,HUNTER LEISURE P/L,False
Wizz Fizz Mega Fizz Bag,25.0,42.75,HUNTER LEISURE P/L,False
M&M's® Super,10.0,12.35,HUNTER LEISURE P/L,False
Police Action Squad,30.0,68.7,SHOWBAGS AUSTRALIA PTY LD,False
Hubba Bubba,10.0,10.2,BENSONS TRADING CO PTY LTD,False
Block Tech,32.0,103.6,BENSONS TRADING CO PTY LTD,False
Brainlicker,10.0,15.2,SHOWBAGS AUSTRALIA PTY LD,False
Tilly & Co.,28.0,248.21,C&C MARKETING,True
Australis Cosmetics,28.0,141.55,C&C MARKETING,False
Spider-Man,30.0,78.86,CHICANE MARKETING PTY LTD,False
Pink Floyd,30.0,76.89,CHICANE MARKETING PTY LTD,False
Little Ripper Bag,3.5,8.0,HUNTER LEISURE P/L,False
BBZ,32.0,107.45,BENSONS TRADING CO PTY LTD,False
Hot Wheels Monster Trucks,32.0,52.65,BENSONS TRADING CO PTY LTD,False
NRL Canterbury Bulldogs,30.0,68.6,BENSONS TRADING CO PTY LTD,False
Giant Candy,20.0,26.3,BENSONS TRADING CO PTY LTD,False
Pokemon Junior #1,32.0,63.6,BENSONS TRADING CO PTY LTD,False
KISS,30.0,76.89,CHICANE MARKETING PTY LTD,False
Mermaid Tails,30.0,52.5,SHOWBAGS AUSTRALIA PTY LD,False
Subway Socceroos,30.0,92.82,CHICANE MARKETING PTY LTD,False
Harry Potter Charms #1,32.0,77.6,BENSONS TRADING CO PTY LTD,False
G-Squad,32.0,80.65,BENSONS TRADING CO PTY LTD,False
The Big Deal,32.0,37.95,BENSONS TRADING CO PTY LTD,False
Paw Patrol Showbag  #2,32.0,61.6,BENSONS TRADING CO PTY LTD,False
Spirit Showbag,32.0,68.55,BENSONS TRADING CO PTY LTD,False
Purrfect Just the Way You Are,25.0,60.6,SHOWBAGS AUSTRALIA PTY LD,False
Zombie Chews,6.0,6.5,BENSONS TRADING CO PTY LTD,False
Big Boss Bag,6.0,10.0,HUNTER LEISURE P/L,False
Super Slime,20.0,33.6,BENSONS TRADING CO PTY LTD,False
Cadbury Caramilk Superbag,10.0,14.0,BENSONS TRADING CO PTY LTD,False
The Mandalorian Bag,30.0,55.75,HUNTER LEISURE P/L,False
KISS,30.0,76.89,CHICANE MARKETING PTY LTD,False
All American,25.0,42.9,SHOWBAGS AUSTRALIA PTY LD,False
Block Tech,32.0,103.6,BENSONS TRADING CO PTY LTD,False
Brainlicker,10.0,15.2,SHOWBAGS AUSTRALIA PTY LD,False
White Glo Toothpaste,30.0,85.4,C&C MARKETING,False
Mermaid Tails,30.0,52.5,SHOWBAGS AUSTRALIA PTY LD,False
Purrfect Just the Way You Are,25.0,60.6,SHOWBAGS AUSTRALIA PTY LD,False
Zombie Chews,6.0,6.5,BENSONS TRADING CO PTY LTD,False
Power Rangers Bag,30.0,31.7,HUNTER LEISURE P/L,False
Jumbo Gummy,25.0,41.4,SHOWBAGS AUSTRALIA PTY LD,False
Lollypops,10.0,19.9,SHOWBAGS AUSTRALIA PTY LD,False
PAC-MAN,32.0,71.6,BENSONS TRADING CO PTY LTD,False
Aero,15.0,16.55,CHICANE MARKETING PTY LTD,False
Milkyway® Super Bag,10.0,14.4,HUNTER LEISURE P/L,False
Chokito,15.0,17.0,CHICANE MARKETING PTY LTD,False
American Candy,20.0,22.5,BENSONS TRADING CO PTY LTD,False
Sonic #2,32.0,74.6,BENSONS TRADING CO PTY LTD,False
Nerds,15.0,18.45,BENSONS TRADING CO PTY LTD,False
Harry Potter Classic #2,32.0,78.6,BENSONS TRADING CO PTY LTD,False
Paw Patrol Skye Showbag,32.0,74.6,BENSONS TRADING CO PTY LTD,False
Miraculous,32.0,70.6,BENSONS TRADING CO PTY LTD,False
Stella Athletic (Autumn),32.0,433.48,CHICANE MARKETING PTY LTD,True
Cadbury Caramilk Mega,20.0,21.2,BENSONS TRADING CO PTY LTD,False
Super Kawaii,10.0,13.9,BENSONS TRADING CO PTY LTD,False
NRL Cronulla Sharks,30.0,68.6,BENSONS TRADING CO PTY LTD,False
Puppy Love,30.0,80.7,SHOWBAGS AUSTRALIA PTY LD,False
Mermaid,32.0,88.5,BENSONS TRADING CO PTY LTD,False
Love To Squish Bag,30.0,70.0,HUNTER LEISURE P/L,False
Jurassic World Dominion Bag,35.0,49.7,HUNTER LEISURE P/L,False
NRL Sydney Roosters,30.0,68.6,BENSONS TRADING CO PTY LTD,False
NRL Canberra Raiders,30.0,73.65,BENSONS TRADING CO PTY LTD,False
Wicked Fizz,6.0,7.0,BENSONS TRADING CO PTY LTD,False
Fish 'n' Reel Showbag - For Beginner Fishing Enthusiasts,27.0,43.11,C&C MARKETING,False
AFL Melbourne Demons Showbag,30.0,82.91,CHICANE MARKETING PTY LTD,False
AFL Western Bulldogs,30.0,87.91,CHICANE MARKETING PTY LTD,False
Bertie Beetle Platinum,8.0,14.6,CHICANE MARKETING PTY LTD,False
Kit Kat ($6 each OR 3 for $15 Range),6.0,7.2,CHICANE MARKETING PTY LTD,False
Super Smarties,16.0,25.4,CHICANE MARKETING PTY LTD,False
Cadbury Freddo Family Deal,25.0,27.0,BENSONS TRADING CO PTY LTD,False
Miss Coco,35.0,170.0,CHICANE MARKETING PTY LTD,False
Mega Fizz Jumbo,10.0,20.5,BENSONS TRADING CO PTY LTD,False
Candy Craze Super Bag,12.5,28.05,HUNTER LEISURE P/L,False
Snickers® Super,10.0,13.0,HUNTER LEISURE P/L,False
Nobbys Nuts,12.0,14.96,HUNTER LEISURE P/L,False
LA Basketball Bag,30.0,41.7,HUNTER LEISURE P/L,False
Ballantynes Bag,12.0,16.85,HUNTER LEISURE P/L,False
Peppa Pig George Showbag,32.0,71.7,BENSONS TRADING CO PTY LTD,False
Onesimals,32.0,74.6,BENSONS TRADING CO PTY LTD,False
Cadbury Curly Wurly,5.0,7.0,BENSONS TRADING CO PTY LTD,False
TNT / KA Bluey $10,10.0,14.25,BENSONS TRADING CO PTY LTD,False
NRL Brisbane Broncos,30.0,68.6,BENSONS TRADING CO PTY LTD,False
Hot Wheels,32.0,64.55,BENSONS TRADING CO PTY LTD,False
Trolli,6.0,9.35,BENSONS TRADING CO PTY LTD,False
Big Boss Super Bag,10.0,16.95,HUNTER LEISURE P/L,False
Wizz Fizz $10 Bag,10.0,14.7,HUNTER LEISURE P/L,False
Smiths Supersnack Bag 2,12.0,18.03,HUNTER LEISURE P/L,False
Bertie Beetle Retro,18.0,34.0,CHICANE MARKETING PTY LTD,False
Play-Doh Bag,30.0,44.7,HUNTER LEISURE P/L,False
Bluey,32.0,71.55,BENSONS TRADING CO PTY LTD,False
Butterbean's Cafe,32.0,69.6,BENSONS TRADING CO PTY LTD,False
AFL Essendon Showbag,30.0,87.91,CHICANE MARKETING PTY LTD,False
NRL Newcastle Knights,30.0,73.65,BENSONS TRADING CO PTY LTD,False
Maltesers® Super Bag,10.0,12.35,HUNTER LEISURE P/L,False
The Little Mermaid Bag,35.0,65.7,HUNTER LEISURE P/L,False
Fantasy Art Bag,15.0,51.7,HUNTER LEISURE P/L,False
Pokemon,32.0,72.55,BENSONS TRADING CO PTY LTD,False
Star Wars The Empire Strikes Back,30.0,89.93,CHICANE MARKETING PTY LTD,False
Star Wars The Child,30.0,81.85,CHICANE MARKETING PTY LTD,False
TNT / KA Bluey,5.0,7.05,BENSONS TRADING CO PTY LTD,False
